Connecticut,59172200660,83771,3629055,54958,598812,0.13989532607897
Delaware,734944836,71091,1031985,134051,345207,0.205937307180909
Georgia,24635180,66559,11037723,1350070,492704,0.135089221926349
Maine,15393368319,64767,1393442,65081,420010,0.15420347134592
Massachusetts,171977726431,89645,6974258,426629,970693,0.0923515467815262
New Hampshire,24708583669,88465,1402957,86487,480768,0.184007671059638
New Jersey,160585495041,89296,9255437,463543,626098,0.142623039843603
New York,635342586417,74314,19496810,118708,1139064,0.065241285827662
Pennsylvania,8031642655,68957,12931957,229578,410238,0.168090230549096
Puerto Rico,10788104440,24002,3180885,-544904,437137,0.0549072716333781
Rhode Island,14825811524,74008,1090483,37916,500703,0.147808181696535
Vermont,21806126681,72431,647156,21415,454664,0.159306652824943
Virginia,11224000,80963,8709873,708849,362065,0.223614544349771
